,time,open,high,low,close,tick_volume,spread,real_volume
0,2011-03-24 00:00:00,0.83,0.9,0.82,0.87,14009,0,0
1,2011-03-25 00:00:00,0.87,0.89,0.86,0.89,4819,0,0
2,2011-03-28 00:00:00,0.82,0.85,0.76,0.8,12565,0,0
3,2011-03-29 00:00:00,0.8,0.8,0.77,0.79,4215,0,0
4,2011-03-30 00:00:00,0.79,0.79,0.76,0.79,3218,0,0
5,2011-03-31 00:00:00,0.79,0.8,0.77,0.78,6875,0,0
6,2011-04-01 00:00:00,0.79,0.8,0.78,0.78,3186,0,0
7,2011-04-04 00:00:00,0.78,0.79,0.56,0.68,31155,0,0
8,2011-04-05 00:00:00,0.68,0.75,0.58,0.71,9730,0,0
9,2011-04-06 00:00:00,0.71,0.75,0.69,0.74,8703,0,0
10,2011-04-07 00:00:00,0.74,0.79,0.72,0.75,10832,0,0
11,2011-04-08 00:00:00,0.75,0.8,0.73,0.75,18207,0,0
12,2011-04-11 00:00:00,0.74,0.8,0.71,0.77,14645,0,0
13,2011-04-12 00:00:00,0.77,0.9,0.77,0.86,48417,0,0
14,2011-04-13 00:00:00,0.86,1.0,0.86,0.92,43397,0,0
15,2011-04-14 00:00:00,0.92,1.0,0.91,1.0,31111,0,0
16,2011-04-15 00:00:00,1.0,1.09,0.91,0.99,50304,0,0
17,2011-04-18 00:00:00,1.11,1.2,1.11,1.16,27478,0,0
18,2011-04-19 00:00:00,1.16,1.2,1.1400000000000001,1.2,12556,0,0
19,2011-04-20 00:00:00,1.18,1.2,1.13,1.1400000000000001,21344,0,0
20,2011-04-21 00:00:00,1.1400000000000001,1.21,1.1400000000000001,1.21,39295,0,0
21,2011-04-22 00:00:00,1.21,1.41,1.19,1.41,39415,0,0
22,2011-04-25 00:00:00,1.63,1.7,1.52,1.56,13471,0,0
23,2011-04-26 00:00:00,1.56,1.8,1.53,1.8,24054,0,0
24,2011-04-27 00:00:00,1.78,1.95,1.72,1.9,33055,0,0
25,2011-04-28 00:00:00,1.8900000000000001,2.65,1.6600000000000001,2.21,100238,0,0
26,2011-04-29 00:00:00,2.21,2.95,2.21,2.88,57577,0,0
27,2011-05-02 00:00:00,3.03,3.49,3.03,3.2,18333,0,0
28,2011-05-03 00:00:00,3.2,3.49,3.11,3.41,16919,0,0
29,2011-05-04 00:00:00,3.41,3.58,3.25,3.41,17278,0,0
30,2011-05-05 00:00:00,3.4,3.45,3.33,3.33,15350,0,0
31,2011-05-06 00:00:00,3.33,3.61,3.29,3.45,23014,0,0
32,2011-05-09 00:00:00,3.87,3.9,3.69,3.8,11520,0,0
33,2011-05-10 00:00:00,3.8,5.99,3.8,5.8100000000000005,56217,0,0
34,2011-05-11 00:00:00,5.75,6.07,4.6,5.5,52569,0,0
35,2011-05-12 00:00:00,5.49,6.49,5.22,6.3,31722,0,0
36,2011-05-13 00:00:00,6.3,8.45,6.3,8.2,64003,0,0
37,2011-05-16 00:00:00,6.99,8.5,6.75,8.04,44141,0,0
38,2011-05-17 00:00:00,7.9,8.39,6.98,7.19,35345,0,0
39,2011-05-18 00:00:00,7.19,7.5,6.6,6.88,25403,0,0
40,2011-05-19 00:00:00,6.7,7.34,6.61,6.8100000000000005,24436,0,0
41,2011-05-20 00:00:00,6.8100000000000005,7.11,5.58,5.59,44460,0,0
42,2011-05-23 00:00:00,6.6899999999999995,7.45,6.6899999999999995,7.15,35279,0,0
43,2011-05-24 00:00:00,7.15,7.51,6.96,7.42,29282,0,0
44,2011-05-25 00:00:00,7.42,9.33,7.22,8.4,64049,0,0
45,2011-05-26 00:00:00,8.25,8.99,8.01,8.8,28644,0,0
46,2011-05-27 00:00:00,8.7,8.83,8.5,8.5,14431,0,0
47,2011-05-30 00:00:00,8.43,9.0,8.25,8.8,17680,0,0
48,2011-05-31 00:00:00,8.8,9.5,8.1,8.74,45794,0,0
49,2011-06-01 00:00:00,8.74,9.7,8.3,9.57,43479,0,0
50,2011-06-02 00:00:00,9.57,10.89,9.5,10.6,41047,0,0
51,2011-06-03 00:00:00,10.6,14.5,10.57,14.29,72980,0,0
52,2011-06-06 00:00:00,16.7,19.23,16.45,18.55,55092,0,0
53,2011-06-07 00:00:00,18.26,24.32,18.26,23.92,53715,0,0
54,2011-06-08 00:00:00,23.92,31.91,22.21,29.6,104925,0,0
55,2011-06-09 00:00:00,29.6,31.5,26.15,28.92,62933,0,0
56,2011-06-10 00:00:00,28.92,29.4,20.01,23.95,92208,0,0
57,2011-06-13 00:00:00,18.55,24.5,16.0,19.84,73421,0,0
58,2011-06-14 00:00:00,19.8,20.5,18.0,19.28,36155,0,0
59,2011-06-15 00:00:00,19.28,20.0,19.02,19.49,27711,0,0
60,2011-06-16 00:00:00,19.49,19.89,17.0,17.0,49202,0,0
61,2011-06-17 00:00:00,17.0,18.34,13.0,15.68,108623,0,0
62,2011-06-27 00:00:00,16.45,18.0,15.0,16.75,31452,0,0
63,2011-06-28 00:00:00,16.75,17.52,16.5,16.95,24398,0,0
64,2011-06-29 00:00:00,16.95,17.2,16.67,16.84,21043,0,0
65,2011-06-30 00:00:00,16.85,17.01,15.73,16.11,34961,0,0
66,2011-07-01 00:00:00,16.1,16.74,15.26,15.4,33284,0,0
67,2011-07-04 00:00:00,15.44,15.49,13.14,13.86,52276,0,0
68,2011-07-05 00:00:00,13.86,15.0,11.0,12.91,84081,0,0
69,2011-07-06 00:00:00,12.91,16.5,12.67,14.79,111818,0,0
70,2011-07-07 00:00:00,14.78,15.9,14.5,14.77,54465,0,0
71,2011-07-08 00:00:00,14.78,15.65,13.9,14.32,34853,0,0
72,2011-07-11 00:00:00,14.9,15.2,13.8,14.21,49160,0,0
73,2011-07-12 00:00:00,14.21,14.64,13.9,14.01,26356,0,0
74,2011-07-13 00:00:00,14.03,14.15,13.91,13.95,10338,0,0
75,2011-07-14 00:00:00,13.95,14.07,13.7,13.99,17661,0,0
76,2011-07-15 00:00:00,14.0,14.09,13.5,13.81,24819,0,0
77,2011-07-18 00:00:00,13.16,13.92,12.51,13.48,75896,0,0
78,2011-07-19 00:00:00,13.48,14.7,13.44,13.85,67575,0,0
79,2011-07-20 00:00:00,13.85,14.0,13.4,13.69,23177,0,0
80,2011-07-21 00:00:00,13.72,13.78,13.4,13.61,25018,0,0
81,2011-07-22 00:00:00,13.61,13.81,13.45,13.7,15165,0,0
82,2011-07-25 00:00:00,13.98,14.72,13.76,14.05,31577,0,0
83,2011-07-26 00:00:00,14.03,14.05,13.77,13.88,16793,0,0
84,2011-07-27 00:00:00,13.88,14.13,13.85,13.94,11508,0,0
85,2011-07-28 00:00:00,13.89,13.94,13.31,13.49,32738,0,0
